id,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,Effort
1,25,150,75,60,1,1750,1750,102.4
2,193,98,70,36,1,1902,1902,105.2
3,70,27,0,12,0.8,535,428,11.1
4,40,60,20,12,1.15,660,759,21.1
5,10,69,1,9,0.9,478.89,431,28.8
6,13,19,0,23,0.75,377.33,283,10
7,34,14,0,5,0.8,256.25,205,8
8,17,17,15,5,1.1,262.73,289,4.9
9,45,64,14,16,0.95,715.79,680,12.9
10,40,60,20,15,1.15,690.43,794,19
11,41,27,29,5,1.1,465.45,512,10.8
12,33,17,8,5,0.75,298.67,224,2.9
13,28,41,16,11,0.85,490.59,417,7.5
14,43,40,20,35,0.85,802.35,682,12
15,7,12,13,8,0.95,220,209,4.1
16,28,38,24,9,1.05,487.62,512,15.8
17,42,57,12,5,1.1,550.91,606,18.3
18,27,20,24,6,1.1,363.64,400,8.9
19,48,66,13,50,1.15,1073.91,1235,38.1
20,69,112,21,39,1.2,1310,1572,61.2
21,25,28,4,22,1.05,476.19,500,3.6
22,61,68,0,11,1,694,694,11.8
23,15,15,6,3,1.05,189.52,199,0.5
24,12,15,0,15,0.95,273.68,260,6.1
