id,ProjectID,PREC,FLEX,RESL,TEAM,PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,AEXP,PEXP,LTEX,TOOL,SITE,SCED,LOC,ACTUAL
1,1,Very High,Nominal,Low,High,Very Low,Nominal,Nominal,Low,Low,Low,Very High,High,Nominal,High,Very High,Very High,Very High,High,High,High,Low,Nominal,3000,1.2
2,2,Very High,Nominal,Low,Very High,Very Low,High,Nominal,Low,Nominal,Low,Very High,High,Nominal,High,High,Very High,Very High,Very High,Very High,High,Very Low,High,2000,2
3,3,Extra High,Nominal,Low,High,Very Low,High,Very High,Low,Nominal,Low,Very High,Very High,Nominal,High,High,Very High,Very High,Very High,Very High,High,Very Low,High,4250,4.5
4,4,Extra High,High,High,High,Nominal,High,High,Very High,Low,Nominal,Nominal,Nominal,High,High,High,Very Low,High,Very High,High,Nominal,High,High,10000,3
5,5,Nominal,Nominal,Low,High,Nominal,Low,Nominal,Very High,Nominal,High,High,Nominal,Nominal,High,High,High,Nominal,Nominal,Nominal,Nominal,High,Low,15000,4
6,6,Very High,Low,Extra High,Extra High,High,Low,Low,Nominal,Low,Very Low,Nominal,Nominal,Low,Very High,Very High,High,Nominal,High,High,Very Low,Extra High,Low,40530,22
7,7,Extra High,Very High,Extra High,Nominal,High,Low,Low,Low,Nominal,Very Low,Nominal,Nominal,Low,Very High,Very High,Very High,Nominal,Very High,Very High,Very Low,High,Low,4050,2
8,8,Nominal,Very Low,Very High,Nominal,Low,Low,Very High,Very Low,High,Very High,Very High,Very High,Low,Low,High,Very High,Nominal,Nominal,Nominal,Nominal,Very High,Nominal,31845,5
9,9,Very Low,Very Low,Nominal,Very Low,Low,Very Low,Nominal,Low,Very High,Low,Nominal,Nominal,Low,Low,High,Very High,High,High,High,Nominal,High,Nominal,114280,18
10,10,Nominal,Very Low,Very High,Low,Low,Very Low,High,Nominal,Very High,Very Low,Very High,Very High,Low,Low,Very High,Very High,High,Very High,High,Nominal,Nominal,Low,23106,4
11,11,High,Nominal,Very High,High,Low,Low,Nominal,Nominal,Nominal,Low,Nominal,Nominal,Low,Very High,High,Very High,Nominal,Nominal,High,Very High,Very High,High,1369,1
12,12,Low,Nominal,Nominal,High,Nominal,Low,Low,High,High,Nominal,Nominal,Nominal,Low,Low,High,Very High,High,Nominal,High,Very High,Very High,High,1611,2.1
