id,ID,Data_Quality,UFP,Year,IS,OT,AG,AT,DT,DP,LT,PPL,CA,FS,RS,N_effort_level1,N_effort,S_effort,N_PDR1,N_PDR,SDR,PET,PIT,I_Date,PAS,Recording_Method,Resource_Level,MTS,ATS,R_PWE_NPA,P_UWE,CASE_Tool,UM,HMA,Hardware1,Language1,OS1,IDE,DT1,DBS1,CS1,WS1,MS1,OP1,FPS,FPSA,RTA,BAT,SP_CMMI,SP_ISO,SP_TICKIT,MIN_Defects,MAJ_Defects,X_Defects,TOT_Defects,UB_BU,UB_L,UB_DU,UB_CU,IMarket,T_Platform,D_Embedded,SE,SEA,SEM,E_Estimate,E_Estimate_Method,DDE,DDEM,C_Estimate,CEC,CEM,E_Tool,E_Comments,EC_Date,SR?,SR,R_FPC,R_FPA,P_Defects,S_Defects,D_Defects,MIN_B_Defects,MAJ_B_Defects,X_B_Defects,TOT_B_Defects,MIN_T_Defects,MAJ_T_Defects,X_T_Defects,TOT_T_Defects,MIN_I_Defects,MAJ_I_Defects,X_I_Defects,TOT_I_Defects,,,
1,10592,B,B,2010,Manufacturing,Manufacturing,Business Application,Track test management,New Development,MR,3GL,PHP,IFPUG 4+,225,M1,?,1856,1856,?,8.2,?,12.4,?,14-Jun-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,Yes,Yes,Developed In-house,?,Adobe Flex,MS Windows Server 2008,FlexBuilderEclipse,Yes,Oracle,No,IBM Websphere,IBM MQ,?,NESMA 2.2,NESMA 2.2,Counted each table as a logical file,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
2,11245,B,B,2010,Manufacturing,Manufacturing,Business Application,Part management in factory,New Development,MR,3GL,Java,IFPUG 4+,599,M2,?,10960,10083,?,18.3,?,13.3,?,9-Jul-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,Yes,Yes,Developed In-house,?,OutSystems Agile Platform,?,?,?,?,?,?,?,?,IFPUG 4.3,IFPUG 4.3,?,?,?,?,?,?,?,?,?,?,?,?,?,Outsourced for internal business unit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
3,11623,B,B,2010,Manufacturing,Manufacturing,Business Application,After sales Parts documentation,New Development,PC,3GL,Java,IFPUG 4+,333,M2,?,5661,5208,?,17,?,13.8,?,12-Feb-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,Yes,Yes,Developed In-house,?,JavaJEE,UNIX,?,?,Oracle,?,?,?,?,Addendum to existing standards,IFPUG 4.1Addendum to existing standards,?,Outbound Logistics ,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,7247,?,30-Nov-04,?,?,?,?,?,Life-cycle Model - Waterfall,?,?,?,?,?,?,0,73,?,?,?,136,?,?,?,110,?,?,?,?,,,
4,14319,B,B,2010,Banking,Banking,Business Application,Auditing Management,New Development,Proprietary,5GL,Proprietary Agile Platform,IFPUG 4+,748,M2,1518,1518,1518,2,2,?,3,?,Aug-10,?,Automated by development tool,1,?,?,?,?,?,Yes,?,?,C++,UNIX,?,?,Oracle,?,?,?,?,Addendum to existing standards,IFPUG 4.1Addendum to existing standards,?,After Sales & Services,?,?,?,?,?,?,?,?,?,?,?,Outsourced for internal business unit,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
5,14653,B,B,2010,Manufacturing,Manufacturing,Business Application,Parts documentation,New Development,MR,3GL,PL/I,IFPUG 4+,158,M1,?,3670,3376,?,23.2,?,7.6,?,18-Jun-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,?,Yes,Developed In-house,?,?,UNIX,?,?,Oracle,?,?,?,?,IFPUG 4.1,IFPUG 4.1Addendum to existing standards,?,General ,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
6,14979,B,B,2010,Manufacturing,Manufacturing,Business Application,IT management,New Development,MR,3GL,Java,IFPUG 4+,427,M2,?,5620,5170,?,13.2,?,7.1,?,30-Jun-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,Yes,Yes,Developed In-house,?,JavaJEE,MVS,?,?,DB2,?,?,?,?,Addendum to existing standards,IFPUG 4.1Addendum to existing standards,?,Inbound Logistics,?,?,?,1,0,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Complexity - High,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,,,
7,15002,A,A,2010,Utilities,'Electricity,Gas,Water',Business Application,Electronic Data InterchangeReusable component,New Development,Multi,4GL,ABAP,IFPUG 4+,461,M2,12149,12149,12149,26.4,26.4,1.9,17,0,30-Jun-10,PlanningSpecificationDesignBuildTestImplementProj Management,Recorded work on project tasks each day,1,14,?,?,?,?,Yes,Combined Developed/Purchased,?,Visual Basic,Windows XP,?,?,SQL Server,?,?,?,?,IFPUG 4.1,IFPUG 4.1Addendum to existing standards,?,'Product,Process & Design',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
8,15011,B,B,2010,Service Industry,Transport & Storage,Business Application,Auditing Management,New Development,Proprietary,5GL,Proprietary Agile Platform,IFPUG 4+,257,M1,452,452,452,1.8,1.8,?,3,?,Jul-10,?,Automated by development tool,1,?,?,?,?,?,Yes,?,?,JavaJEE,Windows XP,?,?,Oracle,?,?,?,?,Addendum to existing standards,IFPUG 4.1Addendum to existing standards,?,Sales,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
9,15264,B,B,2010,Manufacturing,Manufacturing,Business Application,Financial,New Development,PC,4GL,.Net,IFPUG 4+,115,M1,?,441,441,?,3.8,?,2.7,?,19-Jan-10,SpecificationDesignBuildTestImplement,Staff hours (recorded),3,?,?,?,?,Yes,Yes,Developed In-house,?,PL/I,MVS,?,?,DL/1,?,?,?,?,IFPUG 4.1,IFPUG 4.1Addendum to existing standards,?,Sales,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Complexity - Below Average,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,,,
10,17548,B,B,2010,Medical & Health Care,Medical and Health Care,Business Application,Clinical Archive,New Development,Proprietary,5GL,Proprietary Agile Platform,IFPUG 4+,116,M1,112,112,112,1,1,?,2,?,Aug-10,?,Timesheets,1,?,?,?,?,?,Yes,?,?,SQLJEE,?,?,?,Oracle,?,?,?,?,IFPUG 4.1,IFPUG 4.1Addendum to existing standards,?,Customer Relationship,?,ISO 9001ISO 27001,?,9,3,2,21,?,3,60000000,?,'Customer,users,team in different orgs',?,?,166000,LOC,?,13120,Task breakdown,26-Feb-10,Task schedule,662560,'United Kingdom,pound sterling',Task breakdown,Work Break Structure (Excel based using past data),?,?,Yes,In-house software components/libraries,?,?,?,21,22,213,221,38,607,34,17,3,60,?,?,?,0
