project, domain, category, lang, size_project, size_team, experience, effort, mre
MP, WEB, CRUD, JAVA,5000,6,8,6,35
MP, WEB, CRUD, JAVA,5000,6,8,8,27
MP,WEB,  CRUD, JAVA,5000,6,8,14,40
MP,WEB, CRUD, JAVA,5000,6,8,8,32
MP, WEB, CRUD, JAVA,5000,6,8,24,34
SCCP, WEB, CRUD, PHP,3000,4,6,4,26
SCCP, WEB, CRUD, PHP,3000,4,6,6,32
SCCP, WEB, CRUD, PHP,3000,4,6,6,29
SO, WEB, CRUD, JAVA,2000,5,1,36,56
SO, WEB, CRUD, JAVA,2000,5,1,45,66
SO, WEB, CRUD, JAVA,2000,5,1,42,42
GQA, WEB, CRUD, PHP,1800,3,4,18,34
GQA, WEB,  CRUD, PHP,1800,3,4,14,34
GQA, WEB,  CRUD, PHP,1800,3,4,7,21
APP VIRTUS, WEB, CRUD, JAVA,800,4,1,78,40
APP VIRTUS, WEB, CRUD, JAVA,800,4,1,46,78
SUAP, WEB, CRUD, PYTHON,4800,3,1,25,82
SUAP, WEB, CRUD, PYTHON,4800,3,1,27,76
SUAP, WEB, CRUD, PYTHON,4800,3,1,45,92
Monitoria, WEB, CRUD, PYTHON,1200,3,1,18,45
Monitoria, WEB, CRUD, PYTHON,1200,3,1,6,49
Monitoria, WEB, CRUD, PYTHON,1200,3,1,22,55
Monitoria, WEB, CRUD, PYTHON,1200,3,1,20,30
ORCAMENTO, WEB, CRUD, PHP,5500,5,10,26,22
ORCAMENTO, WEB, CRUD, PHP,5500,5,10,22,21
ORCAMENTO, WEB, CRUD, PHP,5500,5,10,18,14
ORCAMENTO, WEB, CRUD, PHP,5500,5,10,15,5
OPME, WEB, CRUD, JAVA,2000,5,7,12,20
OPME, WEB, CRUD, JAVA,2000,5,7,18,20
OPME, WEB, CRUD, JAVA,2000,5,7,18,28
OPME, WEB, CRUD, JAVA,2000,5,7,19,23
OPME, WEB, CRUD, JAVA,2000,5,7,14,27
TQ, WEB, CRUD, PYTHON,2200,3,5,8,15
TQ, WEB, CRUD, PYTHON,2200,3,5,14,35
TQ, WEB, CRUD, PYTHON,2200,3,5,6,15
TQ, WEB, CRUD, PYTHON,2200,3,5,16,45
PORTAL, WEB, CRUD, PHP,3200,4,8,8,26
PORTAL, WEB, CRUD, PHP,3200,4,8,15,33
PORTAL, WEB, CRUD, PHP,3200,4,8,8,12
PORTAL, WEB, CRUD, PHP,3200,4,8,14,35
PORTAL, WEB, CRUD, PHP,3200,4,8,8,25
PTU, WEB, CRUD, JAVA,3400,7,15,18,20
PTU, WEB, CRUD, JAVA,3400,7,15,16,30
PTU, WEB, CRUD, JAVA,3400,7,15,14,25
PTU, WEB, CRUD, JAVA,3400,7,15,6,20
PTU, WEB, CRUD, JAVA,3400,7,15,8,40
TISS, WEB, CRUD, JAVA,3500,5,12,12,12
TISS, WEB, CRUD, JAVA,3500,5,12,8,25
TISS, WEB, CRUD, JAVA,3500,5,12,16,25
TISS, WEB, CRUD, JAVA,3500,5,12,16,25
TISS, WEB, CRUD, JAVA,3500,5,12,20,45
SHC, WEB, CRUD, PYTHON,800,3,1,18,45
SHC, WEB, CRUD, PYTHON,800,3,1,38,55
SHC, WEB, CRUD, PYTHON,800,3,1,19,45
TID, WEB, CRUD, JAVA,1800,3,1,18,45
TID, WEB, CRUD, JAVA,1800,3,1,26,25
TID, WEB, CRUD, JAVA,1800,3,1,32,29
TID, WEB, CRUD, JAVA,1800,3,1,24,15
TID, WEB, CRUD, JAVA,1800,3,1,40,20
SUT, WEB, CRUD, JAVA,800,5,1,44,35
SUT, WEB, CRUD, JAVA,800,5,1,32,45
SUT, WEB, CRUD, JAVA,800,5,1,36,45
SUT, WEB, CRUD, JAVA,800,5,1,32,25
SUT, WEB, CRUD, JAVA,800,5,1,36,55
LSW, WEB, CRUD, PYTHON,1000,5,16,8,0
LSW, WEB, CRUD, PYTHON,1000,5,16,8,0
LSW, WEB, CRUD, PYTHON,1000,5,16,6,20
LSW, WEB, CRUD, PYTHON,1000,5,16,6,0
LSW, WEB, CRUD, PYTHON,1000,5,16,6,0
RECGLOSA, WEB, CRUD, JAVA,2500,4,8,18,20
RECGLOSA, WEB, CRUD, JAVA,2500,4,8,12,0
RECGLOSA, WEB, CRUD, JAVA,2500,4,8,8,10
RECGLOSA, WEB, CRUD, JAVA,2500,4,8,18,28
SEC, WEB, CRUD, JAVA,5000,6,8,6,25
SEC, WEB, CRUD, JAVA,5000,6,8,8,25
SEC,WEB,  CRUD, JAVA,5000,6,8,12,30
SEC,WEB, CRUD, JAVA,5000,6,8,8,25
SEC, WEB, CRUD, JAVA,5000,6,8,18,30
SAM, WEB, CRUD, PHP,2800,3,4,18,34
SAM, WEB,  CRUD, PHP,2800,3,4,14,34
SAM, WEB,  CRUD, PHP,2800,3,4,7,11
SAM, WEB, CRUD, PHP,2800,3,4,12,34
SAM, WEB,  CRUD, PHP,2800,3,4,22,28
SAM, WEB,  CRUD, PHP,2800,3,4,8,20
TISS_Z, WEB, CRUD, JAVA,3500,5,12,8,20
TISS_Z, WEB, CRUD, JAVA,3500,5,12,8,20
TISS_Z, WEB, CRUD, JAVA,3500,5,12,6,20
TISS_Z, WEB, CRUD, JAVA,3500,5,12,12,35
TISS_Z, WEB, CRUD, JAVA,3500,5,12,18,45
TISS_Z, WEB, CRUD, JAVA,3500,5,12,14,20
TISS_Z, WEB, CRUD, JAVA,3500,5,12,16,25
STV, WEB, CRUD, PHP,600,3,12,4,0
STV, WEB, CRUD, PHP,600,3,12,6,0
STV, WEB, CRUD, PHP,600,3,12,6,0
STV, WEB, CRUD, PHP,600,3,12,8,0
STV, WEB, CRUD, PHP,600,3,12,6,0
REC, WEB, CRUD, JAVA,5000,7,4,18,40
REC, WEB, CRUD, JAVA,5000,7,4,16,20
REC, WEB, CRUD, JAVA,5000,7,4,24,35
REC, WEB, CRUD, JAVA,5000,7,4,28,45
REC, WEB, CRUD, JAVA,5000,7,4,14,25
REC, WEB, CRUD, JAVA,5000,7,4,12,0
INTRANET, WEB, CRUD, PHP,1200,2,8,8,15
INTRANET, WEB, CRUD, PHP,1200,2,8,8,15
